name,address,city,postcode,country,lat,lng,website,operator,phone,opening_hours
King of Prussia,363 Regents Park Road,London,N3 1DH,GB,51.6008404,-0.1946078,https://www.thekingfinchley.com,Mitchells & Butlers,+44 20 81065270,Mo-Th 12:00-23:00; Fr-Sa 12:00-24:00; Su 12:00-23:00
The Catcher in the Rye,319 Regents Park Road,London,N3 1DP,GB,51.5995788,-0.196028,,,,
The Tally Ho,749 High Road,London,N12 0BP,GB,51.6141038,-0.1765556,https://thetallyhopub.co.uk/,,,
Railway Bell,,London,,GB,51.5920158,0.0279621,https://www.greeneking.co.uk/pubs/greater-london/railway-bell,,,
The Harrow,,London,,GB,51.4097991,-0.4440569,,,,
The Monkey Puzzle,30 Southwick Street,London,W2 1JQ,GB,51.5164813,-0.1698266,https://themonkeypuzzlepub.co.uk/,Hall & Woodhouse,+44 20 7723 0143,Mo-Sa 12:00-23:30; Su 12:00-22:30
The Arab Boy,289 Upper Richmond Road,London,SW15 6SP,GB,51.4628591,-0.2266975,,Greene King,,
The Union Bar,,London,,GB,51.5004234,-0.1777428,,,,"""by appointment"""
Kings Arms,425 New King's Road,London,SW6 4RN,GB,51.4691887,-0.2100687,https://www.kingsarms-fulham.co.uk/,Wadworth,,
The Waterside,The Boulevard,London,SW6 2SU,GB,51.4727261,-0.1811598,,,,
The Last Judgement,95 Chancery Lane,London,WC2A 1DT,GB,51.5153316,-0.1117428,,,,
Ship Tavern,12 Gate Street,London,WC2A 3HP,GB,51.5172518,-0.1191791,,,,
White Haus,17 Farringdon Street,London,EC4A 4AB,GB,51.5154029,-0.1043348,https://www.thewhitehaus.co.uk/,Stonegate,,
The Manor Inn,,London,,GB,51.3886519,-0.4228087,,,,
Marquess of Anglesey,39 Bow Street,London,,GB,51.5128467,-0.1212167,https://www.themarquess.co.uk/,Young's,,
The Liberty Bounds,15 Trinity Square,London,EC3N 4AA,GB,51.509731,-0.0785318,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-liberty-bounds-tower-of-london,JD Weatherspoon,,
The Cheshire Cheese,48 Crutched Friars,London,EC3N 2AP,GB,51.5114165,-0.0776978,https://www.greatukpubs.co.uk/cheshire-cheese-tower-hill,,,Mo-Fr 11:00-23:00; Sa 12:00-22:00; Su 12:00-20:00
The Swan,,London,,GB,51.5210917,-0.1228519,https://www.greeneking.co.uk/pubs/greater-london/swan,,,
26 Furnival Street,26 Furnival Street,London,EC4A 1JS,GB,51.5167141,-0.1103638,https://www.26furnivalstreet.com/,,+44 20 3301 7555,
Crown & Cushion,133-135 Westminster Bridge Road,London,SE1 7HR,GB,51.4994616,-0.1139642,https://www.thecrownandcushion-london.foodanddrinksites.co.uk/,,+44 20 7803 0573,Mo-Sa 11:00-23:00; Su 11:00-22:30
Shortlands Tavern,Station Road,Bromley,BR2 0EY,GB,51.4053384,0.0034181,https://www.shortlandstavern.co.uk/,,+44 20 8466 0202,12:00-23:00
The Railway,,London,,GB,51.3803526,-0.0133037,,,,
The Duke of York,161 Uxbridge Road,London,W7 3SP,GB,51.5089598,-0.3385051,,,,
The Angelic,57 Liverpool Road,London,N1 0RJ,GB,51.5347892,-0.1072883,,,,
The Old Ale Emporium,405 Green Lanes,London,N4 1EU,GB,51.5780132,-0.0990941,https://the-old-ale-emporium.edan.io/,,+44 20 8348 6200,Mo-Th 11:00-00:00; Fr-Sa 11:00-01:00; Su 12:00-23:00
The Beaconsfield,359 Green Lanes,London,N4 1DZ,GB,51.5763654,-0.0987786,,,,
