name,address,city,postcode,country,lat,lng,website,operator,phone,opening_hours
The Spread Eagle,1146a Warwick Road,Birmingham,B27 6BL,GB,52.4467249,-1.8196256,,,,
Emerald Club,,Birmingham,,GB,52.4732907,-1.8564498,,,,
Shannon's,,Birmingham,,GB,52.4773224,-1.8530029,,,,
The George,George Road,Birmingham,B68 9LN,GB,52.4765922,-1.9979696,,,,
Pitcher & Piano,The Waters Edge,Birmingham,B1 2HL,GB,52.4782683,-1.9120275,,,,
Aston Hotel,,Birmingham,,GB,52.5116213,-1.8864411,,,,
Gospel Oak,1 Bilston Road,Birmingham,DY4 0BT,GB,52.5464558,-2.0499964,,,,
The Station,,Birmingham,,GB,52.4384545,-1.892493,,,,
O'Neill's,,Birmingham,,GB,52.4150966,-1.778834,,,,
Walkabout,,Birmingham,,GB,52.4147875,-1.7789798,,,,
The Flute and Flagon,,Birmingham,,GB,52.4144865,-1.7810562,https://www.greatukpubs.co.uk/flute-and-flagon-solihull,Stonegate,,
The White Swan,32;34 Station Road,Solihull,B91 3SB,GB,52.4145251,-1.7812667,https://www.jdwetherspoon.com/pubs/all-pubs/england/west-midlands/the-white-swan-solihull,,,
The Figure of Eight,,Birmingham,,GB,52.4765251,-1.9121985,https://www.jdwetherspoon.com/pubs/all-pubs/england/west-midlands/the-figure-of-eight-birmingham,,,
The Dew Drop Inn,33 Toll End Road,Birmingham,DY4 0HG,GB,52.5371921,-2.0391938,,,,
Twelfth Man,17 Hollies Croft,Birmingham,B5 7QN,GB,52.4574729,-1.9059478,https://www.craftunionpubs.com/twelfth-man-birmingham,Stonegate,,
Tap & Spile,10-16 Gas Street,Birmingham,B1 2JT,GB,52.4775607,-1.9106771,https://www.greatukpubs.co.uk/tap-and-spile-birmingham,Stonegate,+44 121 632 5602,
Pennyblacks,Wharfside Street,Birmingham,B1 1RQ,GB,52.4752722,-1.9065476,,,,
The Cross Guns,,Birmingham,,GB,52.5036677,-1.9372467,,,,
The Moilliett Arms,,Birmingham,,GB,52.4943603,-1.9532755,,,,
The Duck,,Birmingham,,GB,52.471534,-1.9396181,https://www.beefeater.co.uk/en-gb/locations/west-midlands/the-duck,,,
Desi2,102 Oldbury Road,Birmingham,B66 1HX,GB,52.5019033,-1.9849399,,,,
The Gate,,Birmingham,,GB,52.4971584,-1.9992401,,,,
The New Cottage,,Birmingham,,GB,52.4951444,-2.0029338,,,,
The Shakespeare,Lower Temple Street,Birmingham,B2 4JD,GB,52.4789582,-1.8997018,https://www.nicholsonspubs.co.uk/restaurants/eastandwestmidlands/theshakespearelowertemplestreetbirmingham,Nicholson's Pubs,,
Scruffy Murphy's,,Birmingham,,GB,52.4822829,-1.8925829,,,,
George and Dragon,,Birmingham,,GB,52.4668304,-1.8490367,,,,
The Roebuck,16 Church Street,Birmingham,B3 2NP,GB,52.4820214,-1.9002284,https://www.roebuckbirmingham.co.uk/,,,
The Windsor,Cannon Street,Birmingham,B2 5EE,GB,52.4798012,-1.898228,,,,
Sunflower Lounge,76 Smallbrook Queensway,Birmingham,B5 4EG,GB,52.47621,-1.8975976,,,,
Hobsons Choice,,Birmingham,,GB,52.4421289,-1.9943926,,,,
The Hollybush,,Birmingham,,GB,52.4895694,-1.9759844,,,,
Smethwick Ex-Service-Men's Club,,Birmingham,,GB,52.493768,-1.9729026,,,,
The Sly Old Fox,,Birmingham,,GB,52.4745187,-1.8969633,https://theslyoldfox.com/,,,
The Plough,7 George Road,Birmingham,B68 9LH,GB,52.4792096,-2.0033813,,,,
Morton's Kitchen Bar & Deli,,Birmingham,,GB,52.3855438,-1.8369858,,,,
The Dragon Inn,,Birmingham,,GB,52.4743083,-1.8967181,https://www.jdwetherspoon.com/pubs/all-pubs/england/west-midlands/the-dragon-inn-birmingham,,,
